ano_letivo__ano,curso_campus_id,id,periodo_letivo,situacao_id
2014,420,405559724361,1,9
2015,420,471933994753,2,1
2014,420,441083314173,2,1
2016,420,547891074829,2,20
2014,420,406192630325,1,9
2016,411,508929718261,1,9
2017,411,554733150757,1,1
2016,420,550810249033,2,1
2015,420,463329819401,1,6
2015,499,469067795057,2,1
2013,441,340353681277,2,1
2013,411,373320554045,2,6
2013,420,383511176505,2,9
2016,420,548027693297,2,1
2012,420,309862669725,2,9
2014,420,441607482989,2,9
2014,441,414713161717,2,1
2012,420,309544822677,2,9
2014,420,443087981081,2,9
2015,499,469101252641,2,1
2014,420,405866418881,1,3
2012,441,269038840981,1,9
2014,420,406195418457,1,6
2014,441,413938061021,2,9
2016,411,519700272177,2,1
2014,420,405883147673,1,6
2013,420,339068352425,1,9
2013,420,343752414185,1,6
2013,441,339246792873,2,10
2017,441,572407119505,1,1
2012,420,277645804465,1,3
2014,420,442940210085,2,9
2013,441,338976344069,2,10
2014,420,405113623241,1,9
2016,420,547233075677,2,1
2014,411,442109346749,2,9
2014,420,407678704681,1,3
2016,420,548142006709,2,1
2012,420,309737203785,2,9
2014,420,405810656241,1,9
2012,420,274617893113,1,5
2012,420,309739991917,2,9
2014,420,405278123029,1,1
2016,499,516814555557,2,10
2014,420,406956578493,1,9
2014,499,416271727505,2,9
2015,420,475605964597,2,1
2014,420,404296700565,1,3
2015,420,472193291029,2,1
2016,420,547010025117,2,1
2012,411,274138334409,1,6
2016,420,550662478037,2,1
2012,441,275682959537,1,1
2013,420,338415929537,1,6
2016,420,545077849641,2,1
2016,411,508860014961,1,9
2012,499,312592250953,2,9
2015,411,471858715189,2,1
2016,420,552017510189,2,1
2014,420,407168476525,1,9
2012,420,309692593673,2,3
2012,441,275551917333,1,1
2015,411,463388370173,1,1
2016,420,550221953181,2,1
2012,441,278183913941,1,10
2014,420,409541176857,1,3
2012,441,269063934169,1,1
2014,420,405874783277,1,3
2014,441,414219662353,2,9
2012,420,277952498985,1,3
2012,420,310297618317,2,9
2017,411,555653234317,1,1
2013,420,380767654617,2,3
2012,420,275317714245,1,6
2015,420,473799255061,2,9
2015,420,476921962901,2,9
2014,420,406011401745,1,6
2008,83,126105254001,2,19
2013,420,337794176101,1,6
2008,83,127089464597,2,9
2012,420,269075086697,1,6
2014,420,405816232505,1,6
2014,420,406198206589,1,9
2014,420,405280911161,1,3
2014,420,405442622817,1,6
2015,420,467330788821,1,9
2017,441,561179311941,1,1
2013,420,379089199153,2,9
2016,420,547832524057,2,1
2014,420,406203782853,1,3
2016,420,549655962385,2,1
2014,420,407056951245,1,3
2012,420,311097812201,2,9
2014,420,407126654545,1,3
2013,420,383505600241,2,9
2016,420,545716331869,2,1
2012,441,269303713521,1,9
2012,420,276296348577,1,10
2014,420,441331457921,2,9
2008,83,130945451153,2,19
2013,441,342232882245,2,1
2012,420,277877219421,1,6
2015,420,471443283521,2,1
2012,420,277676473917,1,10
2013,411,332530182885,1,6
2012,441,275931103285,1,9
2012,420,276025899773,1,6
2014,420,441654881233,2,3
2013,441,340587884365,2,1
2012,441,275245222813,1,9
2012,411,272744268409,1,6
2016,420,550297232745,2,1
